y,x,osmid,highway,v_Input_FID
-29.971281000000001,-71.302153300000001,"5464781438",,"6"
-29.972590400000001,-71.301015300000003,"5464781484",,"6"
-29.972292400000001,-71.301658200000006,"5464781487",,"6"
-29.972745400000001,-71.301408400000000,"5464781488",,"6"
-29.972571700000000,-71.301715799999997,"5464781489",,"6"
-29.972853400000002,-71.301492100000004,"5464781490",,"6"
-29.972452400000002,-71.301624000000004,"5464781492",,"6"
-29.973252299999999,-71.301834099999994,"5464781493",,"6"
-29.973004700000001,-71.301348899999994,"5464781494",,"6"
-29.972889800000001,-71.301520300000007,"5464781495",,"6"
-29.972050100000001,-71.301502200000002,"5464781499",,"6"
-29.972012700000001,-71.301584599999998,"5464781546",,"6"
-29.972300799999999,-71.300770700000001,"3505190005",,"6"
-29.969122800000001,-71.297672800000001,"6117062919",,"6"
-29.969607700000001,-71.298053199999998,"6117062920",turning_circle,"6"
-29.976107400000000,-71.300296700000004,"6090259934",,"6"
-29.975990899999999,-71.300654199999997,"6090259935",,"6"
-29.969494600000001,-71.297130400000000,"3763470148",,"6"
-29.950858900000000,-71.266634999999994,"996081667",,"22"
-29.949538799999999,-71.264859999999999,"996081677",,"22"
-29.954777600000000,-71.267340399999995,"996081680",,"22"
-29.954867300000000,-71.265710400000003,"996081682",,"22"
